Cmdline: /system/bin/simpleperf record --app com.dualboot.apps.beach --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -p 10208 -e cpu-clock:u -f 500 --call-graph fp --duration 12
Arch: arm64
Event: cpu-clock:u (type 1, config 0)
Samples: 4693
Event count: 9386000000

Overhead  Symbol
0.04%     std::__1::__function::__func<vendor::qti::hardware::display::mapperextensions::V1_2::BsQtiMapperExtensions::getPrivateFlags(void*, std::__1::function<void (vendor::qti::hardware::display::mapperextensions::V1_0::Error, int)>)::'lambda'(auto const&, auto const&), std::__1::allocator<vendor::qti::hardware::display::mapperextensions::V1_2::BsQtiMapperExtensions::getPrivateFlags(void*, std::__1::function<void (vendor::qti::hardware::display::mapperextensions::V1_0::Error, int)>)::'lambda'(auto const&, auto const&)>, void (vendor::qti::hardware::display::mapperextensions::V1_0::Error, int)>::operator()(vendor::qti::hardware::display::mapperextensions::V1_0::Error&&, int&&)
0.04%     strtoul_l
0.04%     timesub
0.04%     unknown[+7480000000]
0.04%     unknown[+748007f21c]
0.04%     unknown[+748007ff64]
0.04%     unknown[+7480080500]
0.04%     unknown[+748008643c]
0.04%     unknown[+74802bd800]
0.04%     unknown[+74802bdd44]
0.04%     unknown[+74802bde70]
0.04%     unknown[+74802bdfe4]
0.04%     unknown[+74802be1e0]
0.04%     unknown[+74802bec84]
0.04%     unknown[+74802c5d8c]
0.04%     unknown[+74802ca544]
0.04%     unknown[+74802e19b0]
0.04%     unknown[+74802fe594]
0.04%     unknown[+7480301f84]
0.04%     unknown[+7480303384]
0.04%     unknown[+74803082f8]
0.04%     unknown[+7480309d04]
0.02%     !!!0000!08901c6c659dbf1f0b35acf95efa64!0c393b63cf!
0.02%     !!!0000!095b8794d77e9393ee7195c541213d!0c393b63cf!
0.02%     !!!0000!0f44cc1f63c69f43c77ef07312d0c2!0c393b63cf!
0.02%     !!!0000!115befedd67dce09304c97e11cb591!0c393b63cf!
0.02%     !!!0000!17d6575e22c02c3986e9448a343050!0c393b63cf!
0.02%     !!!0000!2ca30194f2ba230fa4449ebbbaf4ab!0c393b63cf!
0.02%     !!!0000!3090a0af81d8c9a099a519d7c9ef17!0c393b63cf!
0.02%     !!!0000!37dd345396092d519add56c82077b6!0c393b63cf!
0.02%     !!!0000!38188d7a977fc074fd6bf7b420dfab!0c393b63cf!
0.02%     !!!0000!3fa091a8be329f39d8449d2b744710!0c393b63cf!
0.02%     !!!0000!43539b688dfe63979d55289624f66a!0c393b63cf!
0.02%     !!!0000!4ad332daf374655b5c22f9575a861a!0c393b63cf!
